,dia_no,new_dia_no,old_goal,new_goal,dia
48,48,48,You are looking for a place to stay. The hotel should be in the west and should have a star of 4. The hotel should be in the expensive price range and should include free parking. Once you find the hotel you want to book it for 6 people and 4 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the west and should have a star of 4. The hotel should be in the expensive price range and should include free parking. Once you find the hotel you want to book it for 6 people and 4 nights starting from monday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: Hello, I'm looking for a 4 star place on the westside to stay at.
system: There are two hotel and one guesthouse that match what you are looking for. Do you have a price range?
user: Yes, I am looking in the expensive price range. Also, I would need free parking.
system: The Huntingdon Marriott Hotel is located in the west and in the expensive price range. Would you like to book?
user: Yes, can you please book me for 6 people and 4 nights starting on monday?
system: Great, I've got you booked for 4 days starting Monday for 6 guests is this correct?
user: Yes. Can I get the reference number so I can give it to them when we arrive?
system: I am sorry.  The system will not give me a confirmation number.  Would you like me to try another hotel?
user: Yes, in the same price range please.
system: There are no other options in the expensive range, would you like me to try something else?
user: Is there another expensive place to stay?
system: I was able to book University Arms Hotel, reference number is VOF0UGNG.
user: Thank you, that's what I needed.
system: Is there anything else I can do for you today?
user: No thanks for all of your help and putting up with a pain like me!
system: You were great. Hope you enjoy your stay. Have a great day."
49,49,49,You are looking for a place to stay. The hotel should have a star of 4 and should include free wifi. The hotel should be in the north and should include free parking. Once you find the hotel you want to book it for 5 people and 3 nights starting from thursday. Make sure you get the reference number,You are looking for a place to stay. The hotel should have a star of 4 and should include free wifi. The hotel should be in the north and should include free parking. Once you find the hotel you want to book it for 5 people and 3 nights starting from thursday. Make sure you get the reference number,"user: Hi, I am looking for a r star place to stay that has free wifi.
system: How many stars would you like?
user: Four stars please. 
system: I have 21 that have 4 stars, 18 are guest houses and 3 are hotels. Do you have a preference to area or type of place?
user: I would like something in the north and has free wifi and free parking if possible. 
system: I have the Acorn Guesthouse, Arbury Lodge Guesthouse, and Archway House in that area all with free wifi and parking. Can I book one of these for you?
user: Can you book the Acorn Guesthouse for Thursday?
system: I'll be happy to. How many people in your party? And how many nights will you be staying?
user: Great, I need it for 5 people for 3 nights, and let me know the reference number.
system: You've been booked and your reference number is V69YHH10.
user: Excellent! Thank you!
system: Is there anything else I can help you with?
user: Actually that is all. Have a lovely day.
system: Here is the address and telephone number of the hotel, so can arrive without any problem.
user: Thanks. Bye now.
system: Thank you. Have a great day."
50,50,50,You are looking for a particular hotel. Its name is called alexander bed and breakfast. Once you find the hotel you want to book it for 7 people and 5 nights starting from thursday. Make sure you get the reference number,You are looking for a particular hotel. Its name is called alexander bed and breakfast. Once you find the hotel you want to book it for 7 people and 5 nights starting from thursday. Make sure you get the reference number,"user: I'm trying to find the Alexander Bed and Breakfast.
system: I have the Alexander B & B located on 56 Saint Barnabas Road. Would you like me to assist you in making a reservation? 
user: Yes please. There will be 7 of us, and we'll be arriving Thursday. We want to stay 5 nights.
system: The hotel is booked. The reference number is 5GTAJA8K.
user: Thank you! That's all I needed.
system: I am glad I was able to help you. Thank you for calling the Cambridge TownInfo Centre. Goodbye."
51,51,51,You are looking for a particular hotel. Its name is called cityroomz. Once you find the hotel you want to book it for 3 people and 3 nights starting from wednesday. If the booking fails how about 1 nights. Make sure you get the reference number,You are looking for a particular hotel. Its name is called cityroomz. Once you find the hotel you want to book it for 3 people and 3 nights starting from wednesday. If the booking fails how about 1 nights. Make sure you get the reference number,"user: Everyone keeps telling me I have to stay at Cityroomz when I visit next. Have you heard of it?
system: Yes. It is a moderately priced hotel in the centre of town. They don't have a star rating, but do offer free wifi. Would you like help booking a room there?
user: Yes, I would like to book it for 3 people and 3 nights starting from Wednesday.
system: I'm so sorry, but I was unable to book per your request. Would you like to try a shorter stay or a different date?
user: Well, are there any other hotels that I can stay at during this time.  I really need these dates.  
system: Sure.  Do you want the same part of town?
user: No, Please book me at cityroomz if 3 people and 3 nights starting from wednesday is unavailable can you try one night?
system: One night was a success. Your reference number is KYH3R6AZ.
user: Thank you so much. 
system: Is there anything else I can do for you?
user: No. that is all . Thanks.
system: Thank you, good bye."
52,52,52,You are looking for a place to stay. The hotel should have a star of 3 and should include free wifi. The hotel should be in the south and should be in the type of guesthouse. Once you find the hotel you want to book it for 6 people and 2 nights starting from sunday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should have a star of 3 and should include free wifi. The hotel should be in the south and should be in the type of guesthouse.,"user: I am looking for a place to stay with free wifi.
system: There are 32 hotels/guesthouses that offer free wifi, do you want to stay on a specific side of town, or a specific amenity you want?
user: I would like to be in the south and I prefer a guesthouse.
system: I have 3 listings in that area,what price range were you looking for?
user: Price does not matter as long as they have 3 stars.
system: I have one, the Bridge Guest House, shall I book it for you?
user: No,let me check around,I will call back.
system: Have a nice day.  Call back if you need anything."
53,53,53,You are looking for a place to stay. The hotel should have a star of 2 and should include free wifi. The hotel should include free parking and should be in the east. Make sure you get hotel type,You are looking for a place to stay. The hotel should have a star of 2 and should include free wifi. The hotel should include free parking and should be in the east. Make sure you get hotel type,"user: I am looking for a 2 star hotel that also includes free wifi.
system: The ashley hotel is a 2 star moderately priced hotel that includes free wifi. Would you be interested in booking a room at this location?
user: Where is it located? I'm looking for something in the East.
system: Express by Holiday Inn Cambridge is a 2 star hotel with free wifi. It is in the east, and is in the expensive price range.
user: What type of place is the Express? 
system: Express by Holiday Inn Cambridge is a hotel. 
user: Do they also have free parking? 
system: Yes, it has free parking and wifi. Would you like me to make a reservation for you at the express by holiday inn cambridge?
user: What type of hotel is it?
system: This is an expensive hotel.
user: I want to make sure that it's a hotel and not just a guest house. It sounds like it's not a guest house though, is that right?
system: It is a hotel, not a guesthouse.
user: Thank you very much! 
system: Is there anything else I can help you with today?
user: No thank you. That will be everything.
system: Glad to help. Thank you and goodbye!"
54,54,54,"You are looking for a place to stay. The hotel should be in the type of hotel and doesn't need to include internet. The hotel should be in the west. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 6 people and 4 nights starting from sunday. Make sure you get the reference number","You are looking for a place to stay. The hotel should be in the type of hotel and doesn't need to include internet. The hotel should be in the west. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 6 people and 4 nights starting from sunday. Make sure you get the reference number","user: I'm looking for a place to stay. I'd like a hotel, not a guesthouse, and I don't care about internet. 
system: Do you have a specific area you would like to stay in?
user: The west, please.
system: I can offer you the Huntingdon Marriott, which is expensive, or the Cambridge Belfry, which is cheap. 
user: I'd like the Cambridge Belfry please.
system: Great! Do you need information on the Cambridge Belfry, or would you like to book a room?
user: I would like a room starting on Sunday for 4 nights. There will be 6 of staying.
system: You are all set. The reference number is 12OOOWTR.  Can I help you with anything else today?
user: No, you've been great. Thank you. Goodbye.
system: Your are welcome. I trust you will enjoy your visit. 
user: Thank you.  Goodbye. 
system: Bye, have a good day"
55,55,55,You are looking for a particular hotel. Its name is called alexander bed and breakfast. Once you find the hotel you want to book it for 4 people and 4 nights starting from friday. Make sure you get the reference number,You are looking for a particular hotel. Its name is called alexander bed and breakfast. Once you find the hotel you want to book it for 4 people and 4 nights starting from friday. Make sure you get the reference number,"user: I want to make a booking at the alexander bed and breakfast.
system: Ok.  How many nights would you like to book?
user: 4 nights please. 
system: What are the dates you are staying? 
user: I will be staying four nights starting on Friday. 
system: How many people will be staying?
user: 4 people will be staying for 4 nights starting from Friday.
system: Ok.  Your booking was successful and the reference number is TD8TU8IO.
user: Thanks very much !
system: You are welcome! Have a good day!"
56,56,56,"You are looking for a place to stay. The hotel should be in the type of guesthouse and should include free wifi. The hotel should be in the expensive price range and should have a star of 4. If there is no such hotel, how about one that is in the moderate price range. Make sure you get whether they have free parking","You are looking for a place to stay. The hotel should be in the type of guesthouse and should include free wifi. The hotel should be in the expensive price range and should have a star of 4. If there is no such hotel, how about one that is in the moderate price range. Make sure you get whether they have free parking","user: I am  looking for a place to stay. The hotel should be in the type of guesthouse and should include free wifi
system: There are 23 guesthouses with free wifi. What price range or area do you prefer?
user: I would prefer a price range of expensive
system: It seems that there are no guesthouses in the expensive price range. Can I offer you a different price range or a different type of hotel? 
user: How about moderate price range with a star of 4?
system: There are several. Do you have a preference for area?
user: Area doesn't matter but I need to know if they have free parking
system: I have discovered 9 choices fitting your description. May I recommend the Archway House? It's on Gilbert Road.
user: Sounds great, Thank you.
system: You're welcome. Would you like me to make a reservation in your name?
user: Yes please make a reservation in my name. Thank you. 
system: I will need to know the day you will be arriving, the amount of days and for how many people before making the reservation.
user: I'm sorry I don't need a reservation right now. Can you just tell me if they offer free parking?
system: Yes, Archway House offers free parking. May I help with something else?
user: Great, thanks. That is all I needed.
system: Should I book that for you?
user: No, I can book myself later.  Thanks.  Good bye.
system: Thank you for using our services. Do you require any further assistance?"
57,57,57,You are looking for a place to stay. The hotel should include free wifi and doesn't need to have free parking. The hotel should be in the east. Once you find the hotel you want to book it for 8 people and 5 nights starting from wednesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should include free wifi and doesn't need to have free parking. The hotel should be in the east. Once you find the hotel you want to book it for 8 people and 5 nights starting from wednesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I'm looking for a hotel that includes free wifi, but it doesn't need to have free parking.
system: I have 3 hotels in the city that meet your request. Are you looking for a certain area of the city?
user: I need a hotel in the east.
system: I have A and B Guest House in the east. Does that sound good? I can help you book a room there if you'd like.
user: Yes that will be fine. Book the room for 8 and for 5 nights on wednesday.
system: I'm sorry, we were not able to book a room at that hotel. Would you like us to try booking another hotel?
user: Okay sure. Try another hotel in the same price range.
system: Okay, you're booked at Avalon with reference number 7U6TURWS. May I help with anything else?
user: That was all that I needed, thank you!
system: Thank you for calling. Enjoy your stay."
58,58,58,"You are looking for a place to stay. The hotel should have a star of 4 and should include free parking. The hotel should be in the north and doesn't need to include internet. If there is no such hotel, how about one that has free wifi. Make sure you get postcode, phone number, and price range","You are looking for a place to stay. The hotel should have a star of 4 and should include free parking. The hotel should be in the north and doesn't need to include internet. If there is no such hotel, how about one that has free wifi. Make sure you get postcode, phone number, and price range","user: I need to find a 4 star hotel that also has free parking.
system: I have 19 places to stay with 4 stars and parking, which area would you prefer? 
user: I would like to be in the north area.
system: There are no hotels that fit your criteria. However, there are 7 guesthouses available. Would you like me to book one of those for you?
user: Are there any guesthouses with free wifi?
system: Yes, all 7 guesthouses have internet available. What price range are you looking for?
user: Oh, cool.  It really doesn't matter.  Which would you recommend?
system: How about Acorn Guest House?
user: How much per night?
system: It is moderately priced. I don't have an exact price. 
user: OK, I don't need a room right now, but can I have the post code and phone number for Acorn?
system: Sure.  Postcode cb41da and phone number 01223353888.  Is there anything else I can do for you?
user: Thanks! That's all I needed today. Bye!
system: Thank you, have a great day."
59,59,59,You are looking for a place to stay. The hotel should be in the north and should have a star of 4. The hotel should include free parking. Once you find the hotel you want to book it for 7 people and 5 nights starting from wednesday. If the booking fails how about sunday. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the north and should have a star of 4. The hotel should include free parking. Once you find the hotel you want to book it for 7 people and 5 nights starting from wednesday. If the booking fails how about sunday. Make sure you get the reference number,"user: I need a 4 star place to stay.
system: What area would you like to stay in?
user: I want it in the north, and it should include free parking.
system: I have a few places, do you have a price range in mind?
user: Can you please recommend one for me?
system: I think the acorn guest house is lovely!
user: please book it for 7 people and 5 nights starting from Wednesday.
system: Yes, I was able to book your guesthouse reservation. Your reference number is NVDLG2QR. Anything else I can help you with?
user: No, that was all. Thank you.
system: Happy to be of service, and enjoy your stay in Cambridge!"
60,60,60,You are looking for a place to stay. The hotel should include free parking and should be in the type of guesthouse. The hotel should be in the south and should be in the moderate price range. Make sure you get postcode,You are looking for a place to stay. The hotel should include free parking and should be in the type of guesthouse. The hotel should be in the south and should be in the moderate price range. Make sure you get postcode,"user: So, I need a guesthouse with free parking. 
system: There are 21 guesthouses with free parking. Is there a particular area or price range you'd like to look at?
user: Yes, I would like it to be in the south and in the moderate range please.
system: I have two options. The Aylesbray Lodge Guest House and the Bridge Guest House. Both offer free wifi and parking. Can I help arrange a room for you?
user: Yes, that would be great. I would be happy with either of those options.
system: Great! Lets go with aylesbray lodge guest house. Would you like me to book that for you?
user: No thank you. Could I get the postcode please?
system: Yes, it's cb17sr.
user: That is all for now, thanks .
system: You are welcome.   Bye."
61,61,61,You are looking for a place to stay. The hotel should be in the east and should include free wifi. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 2 people and 3 nights starting from wednesday. If the booking fails how about 2 nights. Make sure you get the reference number,You are looking for a place to stay. The hotel should be in the east and should include free wifi. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 2 people and 3 nights starting from wednesday. If the booking fails how about 2 nights. Make sure you get the reference number,"user: I am looking for a place to stay. The hotel should be in the east and should include free wifi
system: There is one hotel and 6 guesthouses in the east with free Internet. Do you prefer a certain price range?
user: no, I just need it on the east side.
system: how about the leverton house?
user: Sure, I'd like to book it for 2 people for 3 nights starting on wednesday.
system: Sorry, but the hotel isn't available during that time. What about changing the date?
user: how about 2 nights instead?
system: Booking was successful.Reference number is : HDTPOS34. Is there anything else I can help you with?
user: No, that's all I need. Thank you very much.
system: You are welcome. I can help with attractions and restaurants, if you wish.
user: Not at his time but I will keep it in mind. Have a good day. Bye.
system: Thank you.  Enjoy your trip.  Good bye."
62,62,62,You are looking for a particular hotel. Its name is called worth house. Make sure you get area and hotel type,You are looking for a particular hotel. Its name is called worth house. Make sure you get area and hotel type,"user: Hello, I am looking for a hotel called the worth house. Can you help me find it?
system: Absolutely. The Worth House is located in the north. It offers free wifi and parking. They are located at 152 Chesterton Road. Can I assist you in booking a room?
user: Is this a hotel or a guesthouse?
system: The Worth House is a guesthouse.
user: Ok, that will be perfect. I think that's all I need. Bye!
system: Okay, have a great day!"
63,63,63,You are looking for a hotel. The hotel should have a star of 3 and should include free parking. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 8 people and 3 nights starting from wednesday. If the booking fails how about 2 nights. Make sure you get the reference number,You are looking for a hotel. The hotel should have a star of 3 and should include free parking. The hotel should be in the type of guesthouse. Once you find the hotel you want to book it for 8 people and 3 nights starting from wednesday. If the booking fails how about 2 nights. Make sure you get the reference number,"user: I am looking for a hotel with a 3 star rating and free parking 
system: There are 2 hotels with a 3 star rating and free parking. Would you like to stay in the centre or south?
user: Either is fine. I'd like a guesthouse.
system: Sorry, I was mistaken. There are 3 guesthouses matching your request. One each in the south, north, and west. Would you like to book one?
user: Yes please. Which is the cheapest?
system: I can only tell you they are all in the moderate price range. Do you have any other preferences?
user: No. I would like to make a reservation for Wednesday for 3 nights and 8 people. I will also require a reference number.
system: I was unable to book your stay at any of the three hotels. Would you like to change the length of your stay or change the day?
user: Can you please try a 2 day stay.
system: Booking was successful for the bridge guest house. Your Reference number is : LBEOV690.
user: Thank you. Have a nice day.
system: Thank you. Have a nice day."
64,64,64,You are looking for a particular hotel. Its name is called the cambridge belfry. Make sure you get phone number and price range,You are looking for a particular hotel. Its name is called the cambridge belfry. Make sure you get phone number and price range,"user: Hello, I am looking for the address and phone number of the hotel Cambridge Belfry.
system: The address is back lane, cambourne. The phone number is 01954714600. Is there anything else I can help with? 
user: What is the price range of the hotel?
system: The Cambridge Belfry hotel has a cheap price range. Is there anything else I can help you with?
user: No, that'll be all, thanks. Goodbye.
system: You're welcome. Good-bye."
65,65,65,You are looking for a place to stay. The hotel should include free parking and should have a star of 2. The hotel should be in the expensive price range and should be in the type of hotel. Once you find the hotel you want to book it for 6 people and 5 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should include free parking and should have a star of 2. The hotel should be in the type of hotel. Once you find the hotel you want to book it for 6 people and 5 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I need a two star room, free parking included. 
system: Yes I have two options in the north and on in the east, any preference?
user: No preference, either will do.
system: ashley hotel in Northe part of town
user: Yes I need it for 5 nights from Tuesday for 6 people.
system: I'm sorry but that booking did not go through. Shall I try another hotel for you?
user: Yes one in the same price range.
system: I was able to book you at express by holiday inn cambridge, your reference number is MSGBHKWK, is there anything else that I can assist with?
user: No thank you. That will be all.
system: Okay thank you for calling. Enjoy your stay.
user: I will. Have a nice day.
system: So happy I was able to help. Good-Bye."
66,66,66,You are looking for a particular hotel. Its name is called finches bed and breakfast. Once you find the hotel you want to book it for 4 people and 4 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a particular hotel. Its name is called finches bed and breakfast. Once you find the hotel you want to book it for 4 people and 4 nights starting from thursday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: Hi, I'm looking for a hotel called finches? It's a bed and breakfast. 
system: There were no matches found.
user: I need to book a room for 4 starting on thursday for 4 nights called finches please. It's a bed and breakfast.
system: Unfortunately, I am not finding a match for a business by that name. Would you like me to try and find another place?
user: No let me call back,maybe I have the wrong name.
system: What else can I do for you?
user: I stayed at Finches last year.  Can you please look for it again?
system: I was able to find the hotel but the booking was unsuccessful, do you have any other hotel you'd like to try?
user: Do you have another hotel in that same price range?
system: The cambridge belfry is in the same area and the same price range. It's rated 4 stars.  Should I try to book it?
user: Yes please and give me the reference number.
system: The booking was successful.  Your reference number is UQMLOG0I.  Can I help you with anything else?
user: Thanks, that's all I need. Have a nice day.
system: And thank you for using Cambridge TownInfo centre! Have a great day!"
67,67,67,"You are looking for a place to stay. The hotel doesn't need to include internet and should include free parking. The hotel should be in the moderate price range. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 7 people and 4 nights starting from wednesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","You are looking for a place to stay. The hotel doesn't need to include internet and should include free parking. The hotel should be in the moderate price range. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 7 people and 4 nights starting from wednesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","user: Yes, I am looking for a nice place to stay while in town. The hotel doesn't need to include internet but I'd like it to include free parking if it's available.
system: There are 29 places matching that, do you have any other preferences?
user: Yes, I would prefer the moderate price range please.
system: That narrows your choice to 14. Is there a type of hotel or location you prefer?
user: I am looking for one with a moderate price range possibly with free Wifi
system: The Ashley Hotel is in the north end and has a 2 star rating.  Would you be interested in staying there?
user: Yes,can you book me a reservation ?
system: Of course! When would you like to stay?
user: We will be there wednesday, for 4 nights. I need a reservation for 7 people.
system: The Ashley is unavailable. I can book you at Lovell lodge though.
user: Okay let's try that and please get me a reference number.
system: Your booking was successful and your Reference number is 6Y6KP7A2. Is there anything else I can help you with today?
user: I need the address of the hotel, please.
system: Their address is 365 milton road. Would you like their phone number as well?
user: Yes, please. That would be great in case I get lost.
system: The phone number is 01223425478. 
user: That's all I need. Thank you very much for your help!
system: Happy I could help. Bye!"
68,68,68,"You are looking for a place to stay. The hotel should have a star of 0 and should include free parking. The hotel should include free wifi and should be in the east. If there is no such hotel, how about one that is in the north. Once you find the hotel you want to book it for 6 people and 2 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","You are looking for a place to stay. The hotel should have a star of 0 and should include free parking. The hotel should be in the east. If there is no such hotel, how about one that is in the north. Once you find the hotel you want to book it for 6 people and 2 nights starting from saturday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number","user: Hello! I'm looking for a place to stay with free parking and zero stars.
system: Yes, I have two guesthouses that fit that criteria. Would you like to stay in the north or centre?
user: Do you have anything in the east?
system: There is nothing in the east with zero stars and free parking. Do you want to change the star rating or other criteria?
user: No can you please check in the north instead then?
system: The city centre north b and b meets your criteria. Do you want to make a reservation?
user: Yes, I would like to make a reservation on Saturday for 6 people and we will be staying for 2 nights.
system: Unfortunately the booking was unsuccessful, would you like to try another hotel?
user: Yes i would like something in the same pricerange.
system: Nothing else is available on the cheap side. Something else perhaps? I am sorry.
user: You can change any other criteria, but the price range should be the same as the city centre north b and b. Please try again.
system: Booking was successful at worth house. Reference number is : E2KQ4G5L.
user: That's great. Thanks. Do you have their address?
system: The address is 152 chesterton road.
user: OK, I'm all set here. Thanks for your help.
system: Enjoy your stay at the worth house. Have a great day."
69,69,69,You are looking for a place to stay. The hotel should include free parking and should be in the type of guesthouse. The hotel should have a star of 4. Once you find the hotel you want to book it for 3 people and 5 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a place to stay. The hotel should include free parking and should be in the type of guesthouse. The hotel should have a star of 4. Once you find the hotel you want to book it for 3 people and 5 nights starting from tuesday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I'm looking for a guesthouse rental that has free parking.
system: I have several options do you have a preference for what side of town you stay in?
user: No, but it should have a star of 4.
system: You should enjoy the acorn guest house. It has a 4 star rating and parking. It's located in the north. Their number is 01223525725.
user: Would you book it for me, please. There are 3 of us staying for 5 nights.
system: What day will you be checking in?
user: We will be checking in on Tuesday.
system: Sorry no rooms available. How about another hotel?
user: Can you try another hotel in the same price range?
system: I've booked Archway House for you.  It's located at 52 gilbert road. Your reference number is F11WA5CB.
user: Thank you for your help.  That will be all for now.
system: Glad I could help and enjoy your stay."
70,70,70,"You are looking for a place to stay. The hotel should be in the south and doesn't need to include internet. The hotel should include free parking. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 2 people and 2 nights starting from wednesday. Make sure you get the reference number","You are looking for a place to stay. The hotel should be in the south and doesn't need to include internet. The hotel should include free parking. If there is no such hotel, how about one that has free wifi. Once you find the hotel you want to book it for 2 people and 2 nights starting from wednesday. Make sure you get the reference number","user: I need a hotel in the south
system: The lensfield hotel is in the south. Do you want me to book it for you?
user: does it include free parking?
system: Yes the Lensfield Hotel does have parking.  Would you like me to book it?
user: Thank you goodbye
system: It's been my pleasure. Have a great stay in Cambridge."
71,71,71,"You are looking for a hotel. The hotel should include free parking and should include free wifi. The hotel should have a star of 4. Make sure you get postcode, hotel type, and price range","You are looking for a hotel. The hotel should include free parking and should include free wifi. The hotel should have a star of 4. Make sure you get postcode, hotel type, and price range","user: I am looking for a hotel with free parking and wifi.
system: There are 29 hotels that fit your criteria. Do you have an area or price range that you prefer?
user: Not necessarily, but I am looking for a 4-star hotel. Does that narrow it down?
system: There are still a fair number of selections to choose from. How about the Allenbell? It is a budget-priced guesthouse that fits your criteria. Its location is 517a Coldham Lane.
user: Are you sure it is four stars? If so, could I also have the postcode please?
system: Certainly, yes the Allenbell is a 4 star hotel and their postcode is cb13js. Is there anything else I may help you with today?
user: No thank you that is all!
system: You're welcome. Good-bye."
72,72,72,You are looking for a particular hotel. Its name is called acorn guest house. Once you find the hotel you want to book it for 1 people and 5 nights starting from friday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,You are looking for a particular hotel. Its name is called acorn guest house. Once you find the hotel you want to book it for 1 people and 5 nights starting from friday. If the booking fails how about different hotel in the same  pricerange. Make sure you get the reference number,"user: I am looking to get some information on the acorn guest house.
system: I have the info for that place, what would you like to know?
user: Is there a room available for a five night stay beginning Friday?
system: Sure, I'd be happy to. How many total people will be staying with you?
user: Just for 1 person, thanks.
system: I'm sorry, but there seems to be no rooms available. Could I interest you in another hotel? 
user: Yes in the same price range, please. Include reference number.
system: What area are you looking to stay in ?
user: I would like something in the area of the acorn guest house.
system: Okay I was able to get you into the Archway House and it is also priced moderately. Your reference number is WT39VB7L.
user: Yes thank you that is all I need.
system: You're welcome! Have a wonderful week at Archway and please contact me if you need anything else."
73,73,73,"You are looking for a particular hotel. Its name is called alexander bed and breakfast. Make sure you get phone number, price range, and star of the hotel","You are looking for a particular hotel. Its name is called alexander bed and breakfast. Make sure you get phone number, price range, and star of the hotel","user: I would like to book at room at alexander bed and breakfast
system: Sure thing, just tell me what day you're arriving, how many days you're staying, and how many people are in your party, and I'd be happy to set that up.
user: Actually I just need a bit of information. What is the price range, star rating, and phone number?
system: It's a cheap 4 star guesthouse and the number is 01223525725.  
user: Thank you very much! 
system: You're welcome. Have a great day."
74,74,74,You are looking for a place to stay. The hotel should include free wifi and should have a star of 4. The hotel should be in the west. Once you find the hotel you want to book it for 7 people and 2 nights starting from friday. If the booking fails how about 1 nights. Make sure you get the reference number,You are looking for a place to stay. The hotel should include free wifi and should have a star of 4. The hotel should be in the west. Once you find the hotel you want to book it for 7 people and 2 nights starting from friday. If the booking fails how about 1 nights. Make sure you get the reference number,"user: I am looking for a 4 star hotel with free wifi in the west side of town.
system: There are two options available, which would you prefer cheap or expensive?
user: Either is fine. Can you book a room for 7 people for 2 nights? We'll arrive on Friday.
system: I do recommend huntingdon marriott hotel, but it is in the expensive price range. I want to confirm this is okay before booking. 
user: That sounds great.  Thanks.
system: Your booking for a party of 7 arriving on friday for 3 days 2 nights was successful. Your Reference number is DZ1T0E9N. Is there anything else I can assist you with?
user: No, that is all.  Thanks for the help.  Bye.
system: Thank you, have a great day, goodbye!"
75,75,75,"You are looking for a place to stay. The hotel should include free wifi and should have a star of 3. The hotel should be in the expensive price range and doesn't need to have free parking. If there is no such hotel, how about one that has free parking. Once you find the hotel you want to book it for 4 people and 4 nights starting from monday. Make sure you get the reference number","You are looking for a place to stay. The hotel should include free wifi and should have a star of 3. The hotel should be in the expensive price range and doesn't need to have free parking. If there is no such hotel, how about one that has free parking. Once you find the hotel you want to book it for 4 people and 4 nights starting from monday. Make sure you get the reference number","user: I am looking for a 3 star hotel that has free wifi
system: I have two hotels in that category. Both are expensive and have 3 stars each. Both offer free wifi and parking. Do you prefer the south or centre of town?
user: Either one is fine. How about the South?
system: The Lensfield Hotel would be the place then. It's expensive, 3-star rated with free wifi and free parking. Would you like me to book a room for you? 
user: No thanks, just getting information. That's all I need. 
system: Okay.  Let us know if you need help booking!
user: Actually my wife says it's better to book it. Can you reserve it for 4 people for 4 nights starting from monday?
system: The hotel is booked and the reference number is H3MWAYDX. Your wife can sleep calm now.
user: fantastic! have a good day I will let you know!
system: enjoy your stay, bye!"
76,76,76,You are looking for a particular hotel. Its name is called arbury lodge guesthouse. Once you find the hotel you want to book it for 4 people and 2 nights starting from friday. If the booking fails how about 1 nights. Make sure you get the reference number,You are looking for a particular hotel. Its name is called arbury lodge guesthouse. Once you find the hotel you want to book it for 4 people and 2 nights starting from friday. If the booking fails how about 1 nights. Make sure you get the reference number,"user: I am looking for a particular hotel. Its name is called arbury lodge guesthouse
system: Would you like me to check availability for Arbury Lodge Guesthouse on a particular date?
user:  book it for 4 people and 2 nights starting from friday.
system: I'm sorry, your booking was unsuccessful. Would you like to book another day or a shorter stay?
user: how about 1 night instead?
system: Booking was successful. Reference number is : NSVESB6H.
user: Thank you, that's all I need. Good bye.
system: It was my pleasure. Thank you for using Cambridge TownInfo centre. Goodbye."
77,77,77,"You are looking for a place to stay. The hotel should be in the cheap price range and should be in the east. The hotel should include free parking. Make sure you get address, postcode, and whether they have internet","You are looking for a place to stay. The hotel should be in the cheap price range and should be in the east. The hotel should include free parking. Make sure you get address, postcode, and whether they have internet","user: I'm looking for a cheap hotel on the east side of the city. Can you recommend anything?
system: The Allenbell is a good choice for you. Would you like more information on the Allenbell?
user: Yes, does it have free parking?
system: Yes, it does! Would you like to book a room?
user: Yes please. I'll need the address, postcode, and whether they have internet also.
system: Yes, the Allenbell has Internet. The address is 517a Coldham Lane and the postcode is cb13js. What are your travel details?
user: That's all I need for now.  I think I will wait to actually book a room.  Thank you!
system: You're quite welcome. Thanks for contacting the Cambridge TownInfo Centre and have a great day!"
